Categoría,Medicamento,Para qué sirve,Dosis terapéutica,Dosis máxima,Precauciones,Efectos secundarios,Dieta especial
Antibióticos,Ceftriaxona (inyección),"Infecciones: gonorrea, EPI, meningitis, pulmones, oídos, piel, tracto urinario, sangre, hueso, articulaciones, abdomen.","1-2 g cada 24h","4 g/día","Alergia a componentes, antecedentes de colitis, desnutrición, problemas Vitamina K, enf. renal/hepática, embarazo/lactancia.","Dolor en inyección, diarrea. Graves: reacciones alérgicas, anemia hemolítica, colitis, encefalopatía, colelitiasis.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Azitromicina,"Infecciones: bronquitis, neumonía, ETS, oídos, pulmones, senos, piel, garganta, órganos reproductivos.","500 mg/día; luego 250 mg/día","500 mg/día","Alergia a componentes, antecedentes de prolongación QT, niveles bajos Mg/K, infección sangre, IC, problemas cardíacos, enf. renal/hepática, embarazo/lactancia.","Náuseas, diarrea, vómitos, dolor estómago, dolor cabeza. Graves: prolongación QT, hepatotoxicidad, reacciones alérgicas graves.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Claritromicina,"Infecciones: neumonía, bronquitis, oídos, senos, piel, garganta. Elimina H. pylori.","250-500 mg cada 12h","1 g/día","Alergia a componentes, interacción con estatinas/IBP, antecedentes de arritmias, niveles bajos Mg/K, enf. coronaria, enf. renal/hepática, embarazo/lactancia. Causa mareos/confusión.","Diarrea, náuseas, vómitos, dolor estómago, acidez, gases, cambio gusto, dolor cabeza. Graves: prolongación QT, hepatotoxicidad, arritmias.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Eritromicina,"Infecciones respiratorias (bronquitis, neumonía, tos ferina), ETS (sífilis), oído, intestino, tracto urinario, piel.","250-500 mg cada 6h","4 g/día","Alergia a componentes, antecedentes de arritmias, niveles bajos Mg/K, enf. hepática, embarazo/lactancia.","Molestias estomacales, diarrea, vómitos, dolor estómago, pérdida apetito. Graves: prolongación QT, hepatotoxicidad, miastenia gravis.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Ciprofloxacino,"Infecciones: neumonía, gonorrea, diarrea infecciosa, piel, huesos, articulaciones, abdomen, próstata, bronquitis, senos, ITU.","250-750 mg cada 12h","1500 mg/día","Alergia a componentes, interacción con AINEs/teofilina, antecedentes de arritmias, diabetes, enf. hepática, embarazo/lactancia. Aumenta efectos cafeína.","Náuseas, diarrea, vómitos, dolor estómago, acidez, candidiasis, fotosensibilidad. Graves: tendinitis/rotura tendinosa, neuropatía periférica, prolongación QT, toxina botulínica-like.","No beba/coma mucha cafeína. Beba suficiente agua."
Antibióticos,Levofloxacino,"Infecciones: neumonía, riñón, próstata, piel, bronquitis, senos, ITU.","500-750 mg cada 24h","750 mg/día","Alergia a componentes, interacción con AINEs, antecedentes de arritmias, diabetes, enf. hepática, embarazo/lactancia.","Náuseas, diarrea, vómitos, dolor estómago, estreñimiento, acidez, candidiasis. Graves: tendinitis/rotura, neuropatía periférica, prolongación QT, reacciones de fotosensibilidad.","Tome suficiente agua/líquidos."
Antibióticos,Moxifloxacino,"Infecciones: neumonía, cutáneas, abdominales. Previene/trata peste. Bronquitis, senos.","400 mg cada 24h","400 mg/día","Alergia a componentes, interacción con AINEs, antecedentes de arritmias, diabetes, enf. hepática, embarazo/lactancia.","Náuseas, diarrea, vómitos, dolor estómago, estreñimiento, acidez. Graves: tendinitis/rotura, neuropatía periférica, prolongación QT, hepatotoxicidad.","Tome suficiente agua/líquidos."
Antibióticos,Doxiciclina,"Infecciones bacterianas, previene malaria. Acné y rosácea.","100 mg cada 12h","200 mg/día","Alergia a componentes, interacción con retinoides/antiácidos, disminuye eficacia anticonceptivos, precaución en lupus, enf. renal/hepática, embarazo/lactancia.","Náuseas, diarrea, vómitos, pérdida apetito, candidiasis, fotosensibilidad. Graves: hipertensión intracraneal, hepatotoxicidad, reacciones alérgicas.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Tetraciclina,"Infecciones: neumonía, respiratorias, piel, ojos, digestivo, reproductor, urinario, acné.","250-500 mg cada 6h","2 g/día","Alergia a componentes, disminuye eficacia anticonceptivos, precaución en lupus, enf. renal, embarazo/lactancia.","Náuseas, vómito, diarrea, candidiasis, lengua negra vellosa. Graves: hipertensión intracraneal, hepatotoxicidad, fotosensibilidad.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Cotrimoxazol,"Infecciones bacterianas, diarrea del viajero.","160/800 mg cada 12h","320/1600 mg/día","Alergia a componentes, deficiencia de G6PD, enf. hepática/renal, asma, VIH, embarazo/lactancia. Beba suficientes líquidos.","Náuseas, vómito, pérdida apetito. Graves: reacciones cutáneas graves (Síndrome de Stevens-Johnson), supresión de médula ósea, hepatotoxicidad, hiperpotasemia.","Beba suficientes líquidos."
Antibióticos,Gentamicina (inyección),"Infecciones graves: meningitis, sepsis, abdomen, pulmones, piel, huesos, ITU.","5-7 mg/kg cada 24h",,"Alergia a componentes, precaución en insuficiencia renal, miastenia gravis, Parkinson.","Náuseas, vómito, diarrea, dolor inyección. Graves: nefrotoxicidad, ototoxicidad (irreversible), bloqueo neuromuscular.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Amikacina (inyección),"Infecciones graves: meningitis, sepsis, abdomen, pulmones, piel, huesos, ITU. Tuberculosis.","15-20 mg/kg cada 24h","1,5 g/día","Alergia a componentes, precaución en insuficiencia renal, embarazo/lactancia.","Náuseas, vómito, diarrea, dolor cabeza, fiebre. Graves: nefrotoxicidad, ototoxicidad (irreversible), bloqueo neuromuscular.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Clindamicina,"Infecciones: pulmones, piel, sangre, órganos reproductivos. Acné, malaria, oído, amigdalitis, faringitis.","150-450 mg cada 6h","1,8 g/día","Alergia a componentes, antecedentes de colitis, enf. hepática, embarazo/lactancia.","Náuseas, vómito, sabor metálico, dolor articular, candidiasis. Graves: colitis seudomembranosa (diarrea asociada a C. difficile), hepatotoxicidad.","Generalmente no es necesario cambiar la dieta."
Antibióticos,Cloranfenicol (inyección),"Infecciones bacterianas graves cuando no hay alternativas.",,,"Alergia a componentes, precaución en insuficiencia hepática/renal, riesgo de anemia aplásica (dosis-dependiente y irreversible), embarazo/lactancia (síndrome del bebé gris).","Náuseas, vómitos, diarrea, cefalea, depresión, confusión. Graves: anemia aplásica, leucopenia, trombocitopenia, síndrome del bebé gris.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Ansiolíticos),Diazepam,"Ansiedad, agitación por abstinencia alcohólica, espasmos musculares, convulsiones.","2-10 mg 2-4 veces/día","40 mg/día","Alergia a componentes, interacción con antihistamínicos/omeprazol, enf. pulmonar/hepática, depresión, convulsiones, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Somnolencia, cansancio, debilidad muscular, ataxia. Graves: depresión respiratoria, dependencia, amnesia anterógrada.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Ansiolíticos),Lorazepam,"Ansiedad, insomnio.","1-2 mg 2-3 veces/día","10 mg/día","Alergia a componentes, interacción con otros depresores del SNC, convulsiones, apnea del sueño, EPOC, asma, enf. cardíaca/hepática, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Somnolencia, mareos, debilidad, pérdida equilibrio. Graves: depresión respiratoria, dependencia, amnesia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Ansiolíticos),Clonazepam,"Convulsiones, ataques de pánico.","0,25-0,5 mg cada 12h","20 mg/día","Alergia a componentes, enf. pulmonar/renal, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Somnolencia, mareos, ataxia, problemas coordinación, dificultad memoria. Graves: depresión respiratoria, dependencia, discinesia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Ansiolíticos),Alprazolam,"Trastornos de ansiedad y pánico.","Ansiedad: 0,25-0,5 mg 3 veces/día; Pánico: hasta 10 mg/día","Ansiedad: 4 mg/día; Pánico: 10 mg/día","Alergia a componentes, interacción con antihistamínicos/antiácidos/Hierba San Juan, convulsiones, EPOC, enf. renal/hepática, embarazo/lactancia. Causa somnolencia.","Somnolencia, aturdimiento, dolor cabeza, cansancio, mareos, irritabilidad, boca seca, cambios líbido, náuseas, estreñimiento. Graves: dependencia, síndrome de abstinencia, depresión respiratoria.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Fluoxetina,"Depresión, TOC, trastornos alimenticios, pánico.","20 mg 1 vez/día","80 mg/día","Alergia a componentes, interacción con IMAOs/Hierba San Juan/AINEs, antecedentes de arritmias, diabetes, convulsiones, enf. renal/hepática, embarazo/lactancia.","Nerviosismo, insomnio, náuseas, diarrea, boca seca, fatiga, temblor, disfunción sexual, sudoración. Graves: síndrome serotoninérgico, prolongación QT, sangrado, hiponatremia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Sertralina,"Depresión, TOC, pánico, TEPT, ansiedad social, síndrome premenstrual.","50 mg 1 vez/día","200 mg/día","Alergia a componentes, interacción con IMAOs/Hierba San Juan/AINEs, antecedentes de arritmias, convulsiones, enf. hepática/renal, embarazo/lactancia.","Náuseas, diarrea, acidez, pérdida apetito, temblor, disfunción sexual, sudoración. Graves: síndrome serotoninérgico, prolongación QT, sangrado, hiponatremia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Escitalopram,"Depresión, ansiedad generalizada.","10 mg 1 vez/día","20 mg/día","Alergia a componentes, interacción con IMAOs/Hierba San Juan/AINEs, antecedentes de arritmias, convulsiones, enf. hepática/renal, embarazo/lactancia.","Náuseas, disfunción sexual, somnolencia, insomnio, sudoración. Graves: síndrome serotoninérgico, prolongación QT, sangrado, hiponatremia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Paroxetina,"Depresión, pánico, ansiedad social, ansiedad generalizada, TEPT.","20 mg 1 vez/día","50-60 mg/día","Alergia a componentes, interacción con IMAOs/Hierba San Juan/AINEs, antecedentes de arritmias, convulsiones, problemas hemorragia, osteoporosis, enf. cardíaca/hepática/renal, embarazo/lactancia.","Mareos, debilidad, temblor, insomnio, nerviosismo, náuseas, diarrea, estreñimiento, pérdida apetito, disfunción sexual, boca seca, sudoración. Graves: síndrome serotoninérgico, sangrado, hiponatremia, síntomas de retirada.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Amitriptilina,"Depresión.","25-75 mg en la noche","150 mg/día","Alergia a componentes, interacción con antihistamínicos/cimetidina, infarto reciente, glaucoma, retención urinaria, convulsiones, diabetes, esquizofrenia, enf. hepática/renal/cardíaca, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Náuseas, vómito, somnolencia, fatiga, pesadillas, cefalea, boca seca, estreñimiento, retención urinaria, visión borrosa, disfunción sexual, sudoración, cambios apetito. Graves: arritmias, cardiotoxicidad, convulsiones, hepatitis.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Venlafaxina,"Depresión, ansiedad generalizada, ansiedad social.","75 mg/día","225 mg/día","Alergia a componentes, interacción con IMAOs/Hierba San Juan/cimetidina, antecedentes de arritmias, hipertensión, colesterol elevado, convulsiones, enf. corazón/riñón/hígado/tiroides, embarazo/lactancia. Causa somnolencia.","Somnolencia, náuseas, boca seca, pérdida apetito, sudoración, disfunción sexual. Graves: síndrome serotoninérgico, hipertensión sostenida, prolongación QT, sangrado, convulsiones.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidepresivos),Duloxetina,"Depresión, ansiedad generalizada, dolor neuropático/musculoesquelético.","30-60 mg 1 vez/día","120 mg/día","Alergia a componentes, interacción con IMAOs/IBP/cimetidina/AINEs, niveles bajos sodio, infarto reciente, hipertensión, diabetes, convulsiones, problemas estómago, enf. cardíaca/hepática/renal, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Náuseas, vómitos, diarrea, estreñimiento, disminución apetito, cambios peso, boca seca, sudoración, fatiga, disfunción sexual. Graves: síndrome serotoninérgico, hepatotoxicidad, sangrado, hiponatremia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Haloperidol,"Trastornos psicóticos, tics motores/verbales.","0,5-5 mg 2-3 veces/día","100 mg/día","Alergia a componentes, Parkinson, demencia con cuerpos de Lewy, antecedentes de arritmias, niveles bajos Ca/Mg, enfermedad cardíaca/tiroidea, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Boca seca, visión borrosa, pérdida apetito, estreñimiento, insomnio, acatisia, discinesia, parkinsonismo, galactorrea, disfunción sexual. Graves: síndrome neuroléptico maligno, prolongación QT, discinesia tardía.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Clorpromazina,"Esquizofrenia, otros trastornos psicóticos, control de náuseas/vómitos, hipo.","25-100 mg 2-4 veces/día","800 mg/día","Alergia a componentes, asma, problemas equilibrio, cáncer mama, convulsiones, enf. corazón/hígado/riñones, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Mareos, ataxia, hipotensión ortostática, aumento apetito/peso, galactorrea, disfunción eréctil, boca seca, congestión nasal. Graves: SNM, agranulocitosis, discinesia tardía, colestasis.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Risperidona,"Esquizofrenia, trastorno bipolar, irritabilidad en autismo.","1-2 mg/día","16 mg/día","Alergia a componentes, Parkinson, niveles bajos glóbulos blancos, dificultad tragar, problemas equilibrio, ACV, convulsiones, enf. riñón/hígado/corazón, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Náuseas, vómitos, diarrea, estreñimiento, boca seca, aumento salivación, aumento peso, ansiedad, agitación, disfunción sexual. Graves: SNM, discinesia tardía, hiperglucemia, hiperprolactinemia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Quetiapina,"Esquizofrenia, trastorno bipolar, trastorno depresivo mayor.","25 mg cada 12h","800 mg/día","Alergia a componentes, interacción con cimetidina, antecedentes de diabetes, disfagia, convulsiones, cataratas, colesterol alto, hipotiroidismo, enf. corazón/hígado, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Mareos, somnolencia, boca seca, náuseas, vómitos, estreñimiento, aumento apetito/peso, disartria. Graves: SNM, discinesia tardía, hiperglucemia, cataratas.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Olanzapina,"Esquizofrenia, trastorno bipolar.","5-10 mg 1 vez/día","20 mg/día","Alergia a componentes, interacción con antihistamínicos/omeprazol, antecedentes de ACV, demencia, convulsiones, cáncer mama, problemas deglución, hiperlipidemia, neutropenia, hepatopatía, embarazo/lactancia. Causa somnolencia y mareos al levantarse.","Somnolencia, sedación, aumento peso, aumento apetito, estreñimiento, boca seca. Graves: SNM, discinesia tardía, hiperglucemia, hepatotoxicidad.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antipsicóticos),Clozapina,"Esquizofrenia refractaria.","12,5 mg 1-2/día","900 mg/día","Alergia a componentes, interacción con otros, antecedentes de discrasias sanguíneas, miocarditis, epilepsia, íleo paralítico, hepatopatía, embarazo/lactancia.","Somnolencia, mareos, hipersalivación, boca seca, fiebre. Graves: agranulocitosis, miocarditis, SNM, convulsiones, íleo.","Consulte sobre bebidas cafeinadas."
Sistema Nervioso (Anticonvulsivantes),Ácido valproico,"Convulsiones, manía en bipolar, prevención migraña.","10-15 mg/kg/día","60 mg/kg/día","Alergia a componentes, interacción con Aspirina, hepatopatía, trastornos de la coagulación, acidosis metabólica, pancreatitis, embarazo (teratógeno), lactancia. Causa somnolencia. Evitar alcohol.","Somnolencia, mareos, ataxia, temblor, aumento peso, alopecia. Graves: hepatotoxicidad, pancreatitis, hiperamonemia, teratogenicidad.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Anticonvulsivantes),Carbamazepina,"Convulsiones, neuralgia del trigémino, manía.","200 mg cada 12h","1200 mg/día","Alergia a componentes, interacción con múltiples fármacos, ascendencia asiática (riesgo SJS), historia de depresión, problemas cardíacos, enf. hepática/renal/tiroidea, embarazo/lactancia. Causa somnolencia/mareos. Evitar alcohol.","Somnolencia, mareos, ataxia, diplopía, náuseas. Graves: SJS/NET, agranulocitosis, anemia aplásica, hepatotoxicidad, hiponatremia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Anticonvulsivantes),Fenitoína,"Convulsiones, arritmias cardíacas.","100 mg 3 veces/día","600 mg/día","Alergia a componentes, interacción con múltiples fármacos, ascendencia asiática (riesgo SJS), enfermedades cardíacas/hepáticas, porfiria, embarazo/lactancia. Causa mareos/somnolencia. Evitar alcohol.","Ataxia, nistagmo, confusión, disartria, gingival hyperplasia, hirsutismo. Graves: SJS/NET, hepatotoxicidad, discrasias sanguíneas, síndrome de Stevens-Johnson.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Anticonvulsivantes),Levetiracetam,"Convulsiones de inicio parcial.","500 mg cada 12h","3 g/día","Alergia a componentes, interacción con otros, enfermedad renal, depresión/ideas suicidas, embarazo/lactancia. Causa mareos/somnolencia.","Somnolencia, astenia, mareos, ataxia, convulsiones paradójicas. Graves: psicosis, ideación suicida, angioedema, insuficiencia hepática aguda.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Anticonvulsivantes),Lamotrigina,"Epilepsia, trastorno bipolar.","25 mg/día (inicio)","400 mg/día","Alergia a componentes, interacción con valproato/carbamazepina, disminuye eficacia anticonceptivos, ascendencia asiática (riesgo SJS), embarazo/lactancia. Causa somnolencia/mareos.","Mareos, somnolencia, ataxia, diplopía, visión borrosa. Graves: erupción cutánea grave (SJS/NET), insuficiencia hepática, discrasias sanguíneas.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Hipnóticos),Zolpidem,"Insomnio.","5-10 mg al acostarse","10 mg/día","Alergia a componentes, interacción con otros depresores del SNC, depresión, enfermedades mentales, apnea del sueño, EPOC, asma, enf. renal/hepática, embarazo/lactancia. No beba alcohol.","Somnolencia diurna, cefalea, mareos, amnesia anterógrada, alucinaciones, sonambulismo. Graves: reacciones complejas del sueño, depresión respiratoria, dependencia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Hipnóticos),Eszopiclona,"Insomnio.","1-3 mg al acostarse","3 mg/día","Alergia a componentes, antecedentes de conductas complejas del sueño, depresión, enfermedad mental, enfermedad pulmonar/hepática, embarazo/lactancia. Causa somnolencia. No beba alcohol.","Disgeusia (sabor amargo), cefalea, somnolencia diurna, mareos, boca seca. Graves: angioedema, reacciones complejas del sueño, dependencia.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antiparkinsonianos),Levodopa/Carbidopa,"Enfermedad de Parkinson.","25/100 mg 3 veces/día",~2 g/día,"Alergia a componentes, interacción con antihistamínicos/hierro, glaucoma de ángulo cerrado, melanoma, enfermedades mentales, úlcera péptica, infarto, arritmias, enf. corazón/riñón/hígado/pulmón, embarazo/lactancia. Causa mareos al levantarse. Puede oscurecer fluidos.","Náuseas, vómitos, mareos, discinesia, alucinaciones, hipotensión ortostática. Graves: síndrome neuroléptico maligno, psicosis, hemorragia digestiva.","Hable con su médico sobre dieta rica en proteínas."
Sistema Nervioso (Antiparkinsonianos),Pramipexol,"Enfermedad de Parkinson.","0,125 mg 3 veces/día","4,5 mg/día","Alergia a componentes, interacción con otros, enfermedades mentales, discinesia, trastornos del sueño, mareos, hipotensión, enf. renal, embarazo/lactancia. El alcohol aumenta somnolencia.","Náuseas, mareos, somnolencia, insomnio, alucinaciones, hipotensión. Graves: conductas de control de impulsos (juego, hipersexualidad), síndrome de retirada.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Estimulantes),Metilfenidato,"TDAH, narcolepsia.","5 mg 1-2 veces/día","60 mg/día","Alergia a componentes, interacción con IMAOs, antecedentes de arritmias, hipertensión, tics, trastorno bipolar, glaucoma, problemas circulatorios, embarazo/lactancia.","Nerviosismo, insomnio, pérdida apetito/peso, cefalea, dolor abdominal, taquicardia. Graves: retraso del crecimiento, convulsiones, priapismo, exacerbación de psicosis.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Antidemencia),Donepezilo,"Demencia tipo Alzheimer.","5 mg en la noche","10 mg/día","Alergia a componentes, interacción con otros, bradicardia, asma, EPOC, úlcera péptica, dificultad para orinar, convulsiones, enf. corazón/hígado/riñón, embarazo/lactancia.","Náuseas, vómitos, diarrea, pérdida apetito/peso, fatiga, insomnio, calambres musculares. Graves: bradicardia severa, síncope, úlcera gástrica, convulsiones.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Otros),Gabapentina,"Convulsiones, dolor neuropático, síndrome piernas inquietas.","300 mg/día","3600 mg/día","Alergia a componentes, interacción con AINEs/opioides, enfermedad pulmonar/renal, embarazo/lactancia. Causa somnolencia/mareos/lentitud. El alcohol aumenta somnolencia.","Somnolencia, mareos, ataxia, fatiga, edema periférico, visión borrosa. Graves: depresión respiratoria, reacciones cutáneas graves (SJS).","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Otros),Pregabalina,"Dolor neuropático, convulsiones (1 mes).","75 mg cada 12h","600 mg/día","Alergia a componentes, interacción con otros, angioedema, insuficiencia cardíaca, problemas hemorragia, enf. pulmonar/cardíaca/renal, embarazo/lactancia. Causa mareos/somnolencia. El alcohol aumenta somnolencia.","Mareos, somnolencia, cefalea, visión borrosa, aumento peso, edema periférico. Graves: angioedema, depresión respiratoria, insuficiencia cardíaca.","Generalmente no es necesario cambiar la dieta."
Sistema Nervioso (Otros),Topiramato,"Convulsiones, prevención migraña.","25-50 mg/día (inicio)","400 mg/día","Alergia a componentes, interacción con AINEs/aspirina, antecedentes de cálculos renales, EPOC, asma, depresión, glaucoma, enf. renal/hepática, embarazo/lactancia. Causa somnolencia/mareos. Riesgo de cálculos renales.","Parestesias, pérdida peso, somnolencia, mareos, fatiga, confusión, dificultad memoria. Graves: glaucoma agudo, acidosis metabólica, nefrolitiasis, hipohidrosis.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (IBP),Omeprazol,"ERGE, úlcera péptica, síndrome de Zollinger-Ellison.","20 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con clopidogrel/micofenolato/hierro, niveles bajos Mg/Ca, osteoporosis, lupus, hepatopatía, embarazo/lactancia.","Cefalea, diarrea, estreñimiento, náuseas, gases. Graves: nefritis tubulointersticial, deficiencia de vitamina B12, hipomagnesemia, fracturas.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (IBP),Esomeprazol,"ERGE, úlcera péptica, síndrome de Zollinger-Ellison.","20-40 mg 1 vez/día","40 mg/día","Alergia a componentes, interacción con clopidogrel/cilostazol/diazepam, niveles bajos Mg/Ca, osteoporosis, lupus, hepatopatía, embarazo/lactancia.","Cefalea, diarrea, estreñimiento, náuseas, boca seca. Graves: nefritis tubulointersticial, deficiencia B12, hipomagnesemia, lupus eritematoso cutáneo.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (IBP),Pantoprazol,"ERGE, úlcera péptica.","40 mg 1 vez/día","80 mg/día","Alergia a componentes, interacción con metotrexato/hierro, niveles bajos Mg/Ca, osteoporosis, lupus, embarazo/lactancia.","Cefalea, diarrea, náuseas, vómitos, gases, dolor articular. Graves: nefritis tubulointersticial, hipomagnesemia, deficiencia B12, fracturas.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (IBP),Lansoprazol,"ERGE, úlcera péptica.","15-30 mg 1 vez/día","30 mg/día","Alergia a componentes, interacción con sucralfato/micofenolato/hierro, niveles bajos Mg/Ca, osteoporosis, lupus, embarazo/lactancia.","Náuseas, diarrea, estreñimiento, cefalea, mareos. Graves: nefritis tubulointersticial, hipomagnesemia, deficiencia B12.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antiácidos),Hidróxido de aluminio,"Acidez estomacal, úlceras pépticas.","500-600 mg entre comidas/al acostarse","6,4 g/día","Alergia a componentes, interacción con tetraciclinas/fluoroquinolonas, hipertensión, hemorragia digestiva, insuficiencia cardíaca/renal, embarazo/lactancia.","Estreñimiento, pérdida apetito. Graves: hipofosfatemia, osteomalacia, obstrucción intestinal.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antiácidos/Suplemento),Carbonato de calcio,"Suplemento de calcio, antiácido.","500-1000 mg según síntomas","7 g/día","Alergia a componentes, interacción con levotiroxina/bisfosfonatos/antibióticos, enfermedad renal/afecciones estomacales, embarazo/lactancia.","Molestias estomacales, vómitos, dolor estómago, eructos, estreñimiento, boca seca, sabor metálico. Graves: hipercalcemia, síndrome leche-álcali.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Protector mucosa),Sucralfato,"Úlcera duodenal.","1 g 4 veces/día","4 g/día","Alergia a componentes, interacción con cimetidina/ranitidina/digoxina/fluoroquinolonas, insuficiencia renal, dificultad para tragar, embarazo/lactancia.","Estreñimiento. Graves: bezoar, obstrucción digestiva (riesgo en pacientes con problemas de deglución).","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antidiarreico),Subsalicilato de bismuto,"Diarrea, acidez estomacal.","524 mg cada 30-60 minutos (prn)","4,2 g/día","Alergia a componentes, interacción con anticoagulantes/antidiabéticos/metotrexato, antecedentes de úlcera, problemas hemorragia, insuficiencia renal, varicela/gripe (riesgo síndrome de Reye), embarazo/lactancia.","Lengua/heces negras. Graves: ototoxicidad (zumbidos) por sobredosis, síndrome de Reye (niños con infecciones virales).","Tome abundante agua. Continúe alimentación normal."
Sistema Digestivo (Antiemético),Ondansetrón,"Náuseas y vómitos por quimioterapia/radioterapia/cirugía.","4-8 mg cada 8h","24 mg/día","Alergia a componentes, antecedentes de prolongación QT, niveles bajos Mg/K, insuficiencia cardíaca, hepatopatía, embarazo/lactancia.","Cefalea, estreñimiento, fatiga, escalofríos. Graves: prolongación QT (dosis-dependiente), síndrome serotoninérgico.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Procinético/Antiemético),Metoclopramida,"ERGE refractario, vaciado gástrico lento, náuseas/vómitos por quimioterapia.","10 mg cada 6-8h","40 mg/día","Alergia a componentes, interacción con depresores del SNC/neurolépticos, antecedentes de hemorragia/perforación/obstrucción intestinal, Parkinson, depresión, feocromocitoma, embarazo/lactancia. Causa somnolencia. Evitar alcohol.","Somnolencia, fatiga, diarrea, acatisia. Graves: discinesia tardía (irreversible), síndrome neuroléptico maligno, depresión con ideación suicida.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Antihistamínico),Dimenhidrinato,"Mareo por movimiento.","50-100 mg cada 4-6h","400 mg/día","Alergia a componentes, interacción con otros depresores del SNC, asma, EPOC, glaucoma, dificultad para orinar (HPB), convulsiones, embarazo/lactancia. Causa somnolencia.","Somnolencia, cefalea, mareos, sequedad boca, disminución de la agudeza mental. Graves: arritmias, retención urinaria.","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Laxante),Lactulosa,"Estreñimiento.","15-39 mL 1-2 veces/día","60 mL/día","Alergia a componentes, intolerancia a la galactosa, diabetes (la solución contiene azúcares), embarazo/lactancia.","Flatulencia, náuseas, diarrea (a dosis altas). Graves: desequilibrio electrolítico (raro).","Generalmente no es necesario cambiar la dieta."
Sistema Digestivo (Laxante),Polietilenglicol (PEG),"Estreñimiento ocasional.","17 g 1 vez/día","17 g/día","Alergia a componentes, obstrucción intestinal, íleo, perforación GI, colitis tóxica, megacolon tóxico, embarazo/lactancia.","Distensión abdominal, flatulencia, náuseas, calambres. Graves: desequilibrio electrolítico (raro), aspiración.","Generalmente no es necesario cambiar la dieta."
